Title,Director,Cast,Country,Genre,Subgenre,Budget,Box Office Gross,Rotten Tomatoes Score,IMDb Rating
Slay,Jem Garrard,"Trinity the Tuck, Heidi N Closet, Crystal Methyd, Cara Melle",Canada,Horror,Comedy horror,N/A,N/A,N/A,6.6
Smile 2,Parker Finn,"Kyle Gallner, Naomi Scott, Lukas Gage, Rosemarie DeWitt",United States,Horror,Supernatural horror,N/A,N/A,N/A,N/A
Solvent,Johannes Grenzfurthner,"Jon Gries, Aleksandra Cwen, Roland Gratzer, Johannes Grenzfurthner",Austria,Horror,"Supernatural horror, Mystery",N/A,N/A,N/A,N/A
Somewhere Quiet,Olivia West Lloyd,"Jennifer Kim, Kentucker Audley, Micheál Neeson, Marin Ireland",United States,Horror,psychological thriller,N/A,N/A,92%,4.7
Speak No Evil,James Watkins,"James McAvoy, Alix West Lefler, Mackenzie Davis, Scoot McNairy",United States,Horror,Psychological horror thriller,"$15,000,000 (estimated)",N/A,84%,6.6
Sting,Kiah Roache-Turner,"Alyla Browne, Penelope Mitchell, Ryan Corr, Jermaine Fowler",Australia,Horror,Horror,N/A,"$1,124,510",70%,5.7
Strange Darling,JT Mollner,"Willa Fitzgerald, Kyle Gallner, Ed Begley Jr., Barbara Hershey",United States,Horror,Horror Thriller,N/A,"$2,956,947",94%,7.6
Strange Frequencies,Kerwin Go,"Enrique Gil, Jane de Leon",Philippines,Horror,Horror Found footage,N/A,,,
Stream,Michael Leavy,"Jeffrey Combs, Charles Edwin Powell, Tim Reid, David Howard Thornton, Dee Wallace, Danielle Harris, Tony Todd",United States,Horror,Slasher,N/A,N/A,N/A,6.9
Stree 2,Amar Kaushik,"Rajkummar Rao, Shraddha Kapoor, Pankaj Tripathi, Abhishek Banerjee, Aparshakti Khurana",India,Horror,Supernatural comedy horror,N/A,"$2,570,000",67%,7.7
Sunrise,Andrew Baird,"Alex Pettyfer, Crystal Yu, William Gao, Kurt Yaeger, Olwen Fouéré, Guy Pearce","United States, United Kingdom",Horror,Horror,"$2,500,000 (estimated)",N/A,98%,8.1
Tarot,"Spenser Cohen, Anna Halberg","Harriet Slater, Adain Bradley, Avantika Vandanapu, Jacob Batalon",United States,Horror,Supernatural Horror,"$8,250,000 (estimated)","$18,771,004",18%,4.8
Tarot,Ashbun,"Cho Yeo-jeong, Kim Jin-young, Ko Kyu-pil",South Korea,Horror,Horror Thriller Mystery,"$8,250,000 (estimated)","$18,771,004",18%,4.8
Terrifier 3,Damien Leone,"David Howard Thornton, Lauren LaVera, Elliott Fullam, Samantha Scaffidi",United States,Horror,Slasher,N/A,N/A,N/A,N/A
The Crow,Rupert Sanders,"Bill Skarsgård, FKA Twigs, Isabella Wei",United States,Horror,Supernatural Superhero,"$50,000,000 (estimated)","$50,693,129",87%,7.5
The Cursed Land,"Panu Aree, Kong Rithdee","Ananda Everingham, Bront Palarae, Jennis Oprasert, Seeda Puapimon",Thailand,Horror,Horror Thriller,N/A,N/A,N/A,6.4
The Damned,Thordur Palsson,"Joe Cole, Odessa Young","United Kingdom, Iceland, Ireland, Belgium, United States",Horror,Horror,N/A,"$625,315",84%,7.4
The Deliverance,Lee Daniels,"Andra Day, Rob Morgan, Caleb McLaughlin, Aunjanue Ellis-Taylor, Omar Epps, Tasha Smith, Mo'Nique, Glenn Close",United States,Horror,Supernatural horror Thriller,N/A,N/A,35%,N/A
The Exorcism,"M. A. Fortin, Joshua John Miller","Russell Crowe, Ryan Simpkins, Sam Worthington, Chloe Bailey, Adam Goldberg, David Hyde Pierce",United States,Horror,Supernatural horror,"$22,000,000 (estimated)","$4,530,418",28%,4.1
The First Omen,Arkasha Stevenson,"Nell Tiger Free, Tawfeek Barhom, Sônia Braga, Bill Nighy, Ralph Ineson",United States,Horror,Supernatural horror,"$30,000,000 (estimated)","$20,092,802",82%,6.5
The Front Room,The Eggers Brothers,"Brandy Norwood, Kathryn Hunter, Andrew Burnap",United States,Horror,Psychological horror,N/A,"$2,917,588",50%,N/A
The Home,James DeMonaco,Pete Davidson,United States,Horror,Psychological horror thriller,N/A,N/A,N/A,6.9
The Jack in the Box Rises,Lawrence Fowler,"Nicholas Anscombe, Isabella Colby Browne, Lisa Antrobus, Anna Blackburn",United Kingdom,Horror,Horror,N/A,N/A,N/A,4.3
The Mummy Murders,Colin Bressler,"Leila Annastasia Scott, Jason Scarbrough, Jeff Caperton, Will Donahue, Aimee Michelle, Destiny Soria, Cole Springer, Isak Tufic",United States,Horror,Horror,"$15,000 (estimated)",N/A,N/A,3.6
The Night Curse of Reatrei,Leak LydaDiep Sela,"Norodom Jenna, Paing Takhon, Tharoth Sam, Shin Yubin",CambodiaMyanmar,Horror,Horror Mystery,"$380,000 (estimated)",N/A,N/A,N/A
The Radleys,Euros Lyn,"Damian Lewis, Kelly Macdonald, Sophia Di Martino, Shaun Parkes, Harry Baxendale, Bo Bragason",United Kingdom,Horror,Comedy horror,N/A,N/A,N/A,N/A
The Shrouds,David Cronenberg,"Vincent Cassel, Diane Kruger, Guy Pearce","France, Canada",Horror,Horror,N/A,N/A,66%,5.3
The Strangers: Chapter 1,Renny Harlin,"Madelaine Petsch, Froy Gutierrez, Gabriel Basso",United States,Horror,Slasher,N/A,"$35,202,562",21%,4.6
The Strangers: Chapter 2,,Madelaine Petsch,,Horror,,N/A,N/A,21%,N/A
The Strangers: Chapter 3,,Madelaine Petsch,,Horror,,N/A,N/A,21%,N/A
The Substance,Coralie Fargeat,"Demi Moore, Margaret Qualley, Dennis Quaid","France, United States, United Kingdom",Horror,Body horror,N/A,N/A,90%,7.9
The Wailing,Pedro Martín-Calero,"Ester Expósito, Mathilde Ollivier, Malena Villa, Sonia Almarcha, Àlex Monner, Tomás del Estal","Spain, France, Argentina",Horror,Psychological horror,"$6,420,000 (estimated)","$786,633",99%,7.4
The Watchers,Ishana Night Shyamalan,"Dakota Fanning, Georgina Campbell",United States,Horror,Supernatural horror,N/A,"$19,071,404",31%,5.7
There Is a Monster,Mike Taylor,"Joey Collins, Ena O'Rourke, Jesse Milliner",United States,Horror,Psychological thriller Horror,N/A,N/A,N/A,7.5
Things Will Be Different,Michael Felker,"Adam David Thompson, Riley Dandy",United States,Horror,Time Travel Thriller,N/A,N/A,92%,N/A
Time Cut,Hannah MacPherson,"Michael Shanks, Madison Bailey, Antonia Gentry, Griffin Gluck",United States,Horror,Science fiction Slasher,N/A,N/A,N/A,N/A
Trap,M. Night Shyamalan,"Josh Hartnett, Saleka",United States,Horror,Thriller,N/A,"$38,584,267",57%,6.2
Under Paris,Xavier Gens,"Bérénice Bejo, Nassim Lyes, Léa Léviant",France,Horror,Action Horror Disaster,"EUR25,000,000 (estimated)",N/A,61%,5.2
V/H/S/Beyond,Jordan DowneyChristian LongJustin LongJustin MartinezVirat PalKate SiegelJay Cheel,Various,United States,Horror,Science fiction Horror Anthology,"$600,000 (estimated)",N/A,N/A,N/A
Winnie-the-Pooh: Blood and Honey 2,Rhys Frake-Waterfield,"Scott Chambers, Tallulah Evans, Ryan Oliva, Eddy McKenzie, Lewis Santer, Marcus Massey, Alec Newman, Simon Callow",United Kingdom,Horror,Horror Slasher,"$1,000,000 (estimated)","$533,144",N/A,4.6
Witchboard,Chuck Russell,"Jamie Campbell Bower, Madison Iseman, Aaron Dominguez, Antonia Desplat, Charlie Tahan",United States,Horror,Supernatural horror,"$20,000,000 (estimated)","$7,369,373",50%,5.7
Y2K,Kyle Mooney,"Jaeden Martell, Julian Dennison, Rachel Zegler, Daniel Zolghadri",United States,Horror,Disaster Comedy horror,N/A,N/A,N/A,4.1
Your Monster,Caroline Lindy,"Melissa Barrera, Tommy Dewey, Edmund Donovan, Kayla Foster",United States,Horror,Romantic horror comedy,N/A,N/A,83%,N/A
Z-Mom,Kou Darachan,"Rern Sinat, John Maclaren, Leav Veng Hour",Cambodia,Horror,Romance Zombie,N/A,N/A,N/A,N/A
